date,symbol,close,adj_close,price_used,price_basis,sma_50,sma_200,ema_20,macd,macd_signal,macd_histogram,volume,rsi_14,volume_avg_20,volume_spike_ratio,volume_spike,ema_20_reclaim,screen_rule_pass
2025-06-17,ABG.JO,17373.00,17365.78,17365.78,adj_close,16978.98,,17360.51,142.08,138.35,3.73,2201543.00,48.18,2432049.15,0.91,normal,true,
2025-06-18,ABG.JO,17286.00,17278.82,17278.82,adj_close,16977.51,,17352.73,117.36,134.15,-16.79,1426032.00,46.65,2384723.45,0.60,normal,false,
2025-06-19,ABG.JO,17339.00,17331.79,17331.79,adj_close,16995.43,,17350.74,100.88,127.49,-26.62,4957872.00,47.74,2506279.95,1.98,spike,false,
2025-06-20,ABG.JO,17284.00,17276.82,17276.82,adj_close,17025.14,,17343.70,82.43,118.48,-36.05,5187615.00,46.67,2673916.35,1.94,spike,false,
2025-06-23,ABG.JO,17075.00,17067.90,17067.90,adj_close,17044.34,,17317.43,50.37,104.86,-54.49,1901611.00,42.77,2683729.85,0.71,normal,false,
2025-06-24,ABG.JO,17664.00,17656.66,17656.66,adj_close,17064.46,,17349.74,71.65,98.22,-26.57,1499404.00,54.35,2691259.65,0.56,normal,true,
2025-06-25,ABG.JO,17280.00,17272.82,17272.82,adj_close,17096.87,,17342.41,56.88,89.95,-33.07,3126685.00,47.59,2744932.00,1.14,normal,false,
2025-06-26,ABG.JO,17076.00,17068.90,17068.90,adj_close,17111.73,,17316.36,28.39,77.64,-49.24,2624583.00,44.43,2724425.25,0.96,normal,false,
2025-06-27,ABG.JO,17700.00,17692.64,17692.64,adj_close,17145.66,,17352.20,55.51,73.21,-17.70,6537616.00,54.40,2899168.10,2.25,spike,true,
2025-06-30,ABG.JO,17600.00,17592.69,17592.69,adj_close,17157.19,,17375.10,68.15,72.20,-4.05,2126842.00,52.77,2707319.80,0.79,normal,false,
2025-07-01,ABG.JO,17769.00,17761.62,17761.62,adj_close,17168.62,,17411.92,90.75,75.91,14.84,2174678.00,55.22,2747460.20,0.79,normal,false,
2025-07-02,ABG.JO,17600.00,17592.69,17592.69,adj_close,17176.77,,17429.13,93.95,79.52,14.43,2288423.00,52.30,2793180.35,0.82,normal,false,
2025-07-03,ABG.JO,18050.00,18042.50,18042.50,adj_close,17195.91,,17487.55,131.27,89.87,41.40,4297012.00,58.58,2918267.00,1.47,normal,false,
2025-07-04,ABG.JO,17960.00,17952.54,17952.54,adj_close,17210.14,,17531.83,151.83,102.26,49.57,1335782.00,56.96,2864081.10,0.47,normal,false,
2025-07-07,ABG.JO,17770.00,17762.62,17762.62,adj_close,17232.63,,17553.81,151.06,112.02,39.04,1467157.00,53.60,2817572.90,0.52,normal,false,
2025-07-08,ABG.JO,17750.00,17742.62,17742.62,adj_close,17251.45,,17571.79,147.14,119.05,28.10,2114901.00,53.25,2775848.85,0.76,normal,false,
2025-07-09,ABG.JO,17762.00,17754.62,17754.62,adj_close,17270.28,,17589.21,143.35,123.91,19.45,2141261.00,53.45,2722027.55,0.79,normal,false,
2025-07-10,ABG.JO,17754.00,17746.62,17746.62,adj_close,17282.49,,17604.20,138.11,126.75,11.36,2933081.00,53.28,2771257.90,1.06,normal,false,
2025-07-11,ABG.JO,17440.00,17432.75,17432.75,adj_close,17289.79,,17587.87,107.39,122.88,-15.48,3195036.00,47.18,2852415.20,1.12,normal,false,
2025-07-14,ABG.JO,17369.00,17361.78,17361.78,adj_close,17294.17,,17566.34,76.44,113.59,-37.15,2417052.00,45.90,2797709.30,0.86,normal,false,
2025-07-15,ABG.JO,17500.00,17492.73,17492.73,adj_close,17301.75,,17559.33,61.77,103.22,-41.46,1985582.00,48.67,2786911.25,0.71,normal,false,
