symbol,status,opened_on,notes
SOL.JO,closed,,Exited on 2026-03-31 after profit-taking following the oil-driven spike
ABG.JO, open,, Current open holdings have an average purchase price of 16392. stop loss set at 23500
ADH.JO, open,, Current open holdings have an average purchase price of 3312
MTN.JO, open,, Current open holdings have an average purchase price of 18947
ANH.JO, open , , Current open holdings have an average purchase price of 106229
