date,symbol,open,high,low,close,adj_close,volume
2026-02-23,ABG.JO,26998.00,27210.00,26684.00,26911.00,26911.00,1963654
2026-02-23,ADH.JO,3955.00,4000.00,3935.00,4000.00,4000.00,493959
2026-02-23,AGL.JO,78500.00,80244.00,77860.00,79582.00,79581.83,837034
2026-02-23,ANH.JO,127499.00,127499.00,124695.00,126654.00,126654.00,736476
2026-02-23,APN.JO,12548.00,12948.00,12548.00,12825.00,12825.00,1481725
2026-02-23,AVI.JO,11302.00,11539.00,11429.00,11456.00,11456.00,298347
2026-02-23,BHG.JO,60684.00,62303.00,60536.15,61920.00,61908.73,963606
2026-02-23,BTI.JO,99300.00,99832.00,97678.00,99832.00,99818.07,511511
2026-02-23,BVT.JO,24800.00,24981.00,24279.00,24467.00,24461.67,729798
2026-02-23,CFR.JO,332550.00,339999.00,332750.00,336200.00,336200.00,119912
2026-02-23,CLS.JO,32200.00,32363.00,31776.00,31980.00,31980.00,811916
2026-02-23,CPI.JO,472786.00,478890.00,469537.00,472720.00,472720.00,136162
2026-02-23,DSY.JO,24071.00,24755.00,23964.00,24128.00,24128.00,668984
2026-02-23,EXX.JO,19363.00,19400.00,19168.00,19359.00,19359.00,330891
2026-02-23,FSR.JO,9785.00,9954.00,9711.00,9743.00,9743.00,9024307
2026-02-23,GFI.JO,86504.00,90700.00,84987.00,89537.00,89512.78,1557499
2026-02-23,GLN.JO,10980.00,11220.00,10907.00,11200.00,11200.00,5278098
2026-02-23,IMP.JO,29500.00,30469.00,29200.00,30469.00,30463.36,2997300
2026-02-23,KIO.JO,36509.00,36595.00,35651.00,36470.00,36453.45,346332
2026-02-23,KST.JO,2785.00,2825.00,2785.00,2820.00,2820.00,547326
2026-02-23,LHC.JO,1195.00,1210.00,1188.00,1209.00,1209.00,4578318
2026-02-23,MRP.JO,17159.00,17471.00,17199.00,17412.00,17412.00,812563
2026-02-23,MTH.JO,13025.00,13153.00,13025.00,13141.00,13137.77,345836
2026-02-23,MTM.JO,3933.00,3994.00,3928.00,3973.00,3973.00,1265741
2026-02-23,MTN.JO,19750.00,19897.00,19517.00,19517.00,19517.00,2192712
2026-02-23,NED.JO,28300.00,28900.00,28190.00,28576.00,28576.00,1298266
2026-02-23,NPN.JO,92515.00,93123.00,91143.00,91475.00,91475.00,1914532
2026-02-23,OMU.JO,1592.00,1629.00,1603.00,1625.00,1625.00,12401545
2026-02-23,OUT.JO,7550.00,7693.00,7582.00,7628.00,7628.00,1577755
2026-02-23,PAN.JO,3648.00,3830.00,3640.00,3803.00,3802.87,13029492
2026-02-23,PRX.JO,84900.00,85699.00,83388.00,83968.00,83968.00,2968528
2026-02-23,REM.JO,18600.00,19130.00,18755.00,18946.00,18946.00,521901
2026-02-23,S32.JO,4990.00,5079.00,4979.00,5074.00,5073.38,1056292
2026-02-23,SAP.JO,1794.00,1823.00,1750.00,1765.00,1765.00,2330053
2026-02-23,SBK.JO,31804.00,32393.00,31888.00,32202.00,32202.00,1697028
2026-02-23,SHP.JO,27195.00,27221.00,26973.00,27051.00,27047.94,869345
2026-02-23,SLM.JO,10623.00,10847.00,10591.00,10620.00,10620.00,2325623
2026-02-23,SOL.JO,14502.00,14600.00,13601.00,14110.00,14110.00,4174143
2026-02-23,SPP.JO,8400.00,8443.00,7415.00,7622.00,7622.00,2626972
2026-02-23,SUI.JO,4274.00,4300.00,4220.00,4279.00,4279.00,233887
2026-02-23,TBS.JO,33661.00,33927.00,33482.00,33882.00,33882.00,463343
2026-02-23,TRU.JO,5656.00,5871.00,5712.00,5843.00,5839.52,1766372
2026-02-23,VAL.JO,154900.00,157500.00,153557.00,156069.00,156017.89,456848
2026-02-23,VOD.JO,15980.00,16247.00,15894.00,15953.00,15953.00,1728752
2026-02-23,WHL.JO,5435.00,5499.00,5399.00,5405.00,5403.76,1682805
