date,symbol,open,high,low,close,adj_close,volume
2025-07-14,ABG.JO,17598.00,17574.00,17201.00,17369.00,17361.78,2417052
2025-07-14,ADH.JO,3250.00,3278.00,3233.00,3251.00,3250.54,345543
2025-07-14,AGL.JO,54487.00,55047.00,53652.00,53652.00,53650.57,777856
2025-07-14,ANH.JO,120656.00,121682.00,120424.00,121114.00,121113.84,203342
2025-07-14,APN.JO,11619.00,11671.00,11344.00,11353.00,11350.53,1644350
2025-07-14,AVI.JO,9494.00,9479.00,9387.00,9400.00,9396.21,350885
2025-07-14,BHG.JO,46542.00,46830.00,46022.00,46120.00,46101.62,435974
2025-07-14,BTI.JO,91208.00,92638.00,90580.00,91976.00,91935.79,1421046
2025-07-14,BVT.JO,23151.00,23200.00,22831.00,22831.00,22821.32,800649
2025-07-14,CFR.JO,334361.00,334361.00,327358.00,329280.00,329277.06,152746
2025-07-14,CLS.JO,35600.00,36489.00,35312.00,35540.00,35533.45,681291
2025-07-14,CPI.JO,345500.00,342148.00,335016.00,340413.00,340390.97,125580
2025-07-14,DSY.JO,21551.00,21343.00,20909.00,21247.00,21245.01,912699
2025-07-14,EXX.JO,16688.00,17174.00,16688.00,16909.00,16901.09,1136466
2025-07-14,FSR.JO,7251.00,7267.00,7180.00,7209.00,7206.80,9315192
2025-07-14,GFI.JO,44046.00,44032.00,42696.00,43218.00,43201.49,1477693
2025-07-14,GLN.JO,7600.00,7651.00,7481.00,7488.00,7487.95,4362750
2025-07-14,IMP.JO,17494.00,17950.00,17352.00,17376.00,17371.25,4498822
2025-07-14,KIO.JO,31000.00,31350.00,29622.00,29988.00,29957.58,583311
2025-07-14,KST.JO,2197.00,2200.00,2167.00,2200.00,2199.82,381311
2025-07-14,LHC.JO,1393.00,1418.00,1386.00,1390.00,1387.19,2902499
2025-07-14,MRP.JO,21100.00,21158.00,20714.00,20742.00,20738.81,1318846
2025-07-14,MTH.JO,9994.00,9812.00,9638.00,9638.00,9632.76,318540
2025-07-14,MTM.JO,3367.00,3344.00,3308.00,3323.00,3322.12,1391119
2025-07-14,MTN.JO,14050.00,14266.00,14005.00,14266.00,14266.00,4799972
2025-07-14,NED.JO,23400.00,23590.00,23200.00,23404.00,23393.33,1150494
2025-07-14,NPN.JO,110218.40,111195.40,107832.60,108419.80,108414.58,1626645
2025-07-14,OMU.JO,1165.00,1150.00,1128.00,1147.00,1146.68,20045242
2025-07-14,OUT.JO,7708.00,7750.00,7595.00,7696.00,7694.12,2122068
2025-07-14,PAN.JO,1222.00,1259.00,1222.00,1236.00,1235.74,4687638
2025-07-14,PRX.JO,101300.00,101545.00,98500.00,99200.00,99199.84,913499
2025-07-14,REM.JO,16801.00,16994.00,16716.00,16814.00,16809.71,730627
2025-07-14,S32.JO,3590.00,3600.00,3430.00,3452.00,3451.06,2804101
2025-07-14,SAP.JO,2922.00,2940.00,2845.00,2846.00,2846.00,1733461
2025-07-14,SBK.JO,22117.00,22177.00,21837.00,21992.00,21984.69,1793742
2025-07-14,SHP.JO,27400.00,27337.00,26928.00,27162.00,27154.16,655830
2025-07-14,SLM.JO,8674.00,8629.00,8538.00,8571.00,8571.00,2449169
2025-07-14,SOL.JO,9280.00,9671.00,9155.00,9331.00,9331.00,3105367
2025-07-14,SPP.JO,10811.00,10811.00,10711.00,10750.00,10750.00,194702
2025-07-14,SUI.JO,4750.00,4778.00,4726.00,4750.00,4748.13,129357
2025-07-14,TBS.JO,29643.00,29708.00,29345.00,29479.00,29448.37,131652
2025-07-14,TRU.JO,7200.00,7216.00,6980.00,7011.00,7004.79,1254437
2025-07-14,VAL.JO,85986.00,88355.00,85342.00,86343.00,86312.65,851025
2025-07-14,VOD.JO,13760.00,14056.00,13758.00,13934.00,13930.74,1038656
2025-07-14,WHL.JO,4880.00,4909.00,4839.00,4849.00,4847.13,5867090
