date,symbol,open,high,low,close,adj_close,volume
2025-07-29,ABG.JO,17639.00,17874.00,17595.00,17784.00,17776.61,2806538
2025-07-29,ADH.JO,3199.00,3199.00,3119.00,3192.00,3191.55,88300
2025-07-29,AGL.JO,54400.00,54399.00,53215.00,53215.00,53213.58,754092
2025-07-29,ANH.JO,119106.00,120173.00,118803.00,119079.00,119078.84,348900
2025-07-29,APN.JO,12100.00,12720.00,12103.00,12389.00,12386.30,2994668
2025-07-29,AVI.JO,9400.00,9399.00,9302.00,9371.00,9367.22,628558
2025-07-29,BHG.JO,47699.00,47499.00,46729.00,46855.00,46836.33,683228
2025-07-29,BTI.JO,92506.00,93621.00,92238.00,93621.00,93580.07,1465182
2025-07-29,BVT.JO,23576.00,23909.00,23504.00,23670.00,23659.97,644144
2025-07-29,CFR.JO,308993.00,311569.00,305346.00,306616.00,306613.25,50779
2025-07-29,CLS.JO,36931.00,37318.00,36816.00,37169.00,37162.15,481870
2025-07-29,CPI.JO,346261.00,354953.00,345307.00,348000.00,347977.47,155926
2025-07-29,DSY.JO,21131.00,21373.00,21019.00,21075.00,21073.03,907985
2025-07-29,EXX.JO,16203.00,16581.00,16046.00,16314.00,16306.37,558852
2025-07-29,FSR.JO,7527.00,7605.00,7506.00,7524.00,7521.71,5664589
2025-07-29,GFI.JO,44499.00,44974.00,43463.00,44815.00,44797.88,1031293
2025-07-29,GLN.JO,7598.00,7575.00,7294.00,7322.00,7321.95,6114428
2025-07-29,IMP.JO,18105.00,18465.00,17938.00,18282.00,18277.01,4861532
2025-07-29,KIO.JO,29763.00,31386.00,29601.00,31002.00,30970.55,906644
2025-07-29,KST.JO,2216.00,2239.00,2215.00,2228.00,2227.82,79969
2025-07-29,LHC.JO,1329.00,1365.00,1338.00,1355.00,1352.26,4153082
2025-07-29,MRP.JO,20499.00,20857.00,20412.00,20790.00,20786.80,1646389
2025-07-29,MTH.JO,9225.00,9485.00,9225.00,9274.00,9268.96,213375
2025-07-29,MTM.JO,3389.00,3442.00,3389.00,3434.00,3433.09,986011
2025-07-29,MTN.JO,14328.00,14585.00,14233.00,14585.00,14585.00,6052871
2025-07-29,NED.JO,24005.00,24804.00,24120.50,24589.00,24577.79,1207781
2025-07-29,NPN.JO,114879.00,116359.40,114610.00,115000.00,114994.46,885300
2025-07-29,OMU.JO,1260.00,1280.00,1260.00,1270.00,1269.65,7854563
2025-07-29,OUT.JO,7621.00,7800.00,7579.00,7634.00,7632.14,3111601
2025-07-29,PAN.JO,1303.00,1309.00,1281.00,1308.00,1307.73,5501868
2025-07-29,PRX.JO,105708.00,106700.00,105472.00,105729.00,105728.82,892310
2025-07-29,REM.JO,16599.00,16709.00,16476.00,16527.00,16522.78,600468
2025-07-29,S32.JO,3450.00,3490.00,3446.00,3446.00,3445.06,1258736
2025-07-29,SAP.JO,2899.00,2921.00,2841.00,2850.00,2850.00,2869606
2025-07-29,SBK.JO,22974.00,23373.00,22897.00,23117.00,23109.32,1460787
2025-07-29,SHP.JO,26414.00,26671.00,26367.00,26626.00,26618.31,1140354
2025-07-29,SLM.JO,8623.00,8687.00,8577.00,8620.00,8620.00,4627756
2025-07-29,SOL.JO,9376.00,9590.00,9107.00,9307.00,9307.00,2952019
2025-07-29,SPP.JO,10713.00,10727.00,10519.00,10624.00,10624.00,204125
2025-07-29,SUI.JO,4630.00,4716.00,4621.00,4699.00,4697.15,124629
2025-07-29,TBS.JO,29936.00,30262.00,29845.00,30262.00,30230.55,146107
2025-07-29,TRU.JO,6850.00,7077.00,6933.00,7000.00,6993.80,1412731
2025-07-29,VAL.JO,87499.00,88360.00,84230.00,85237.00,85207.04,1247635
2025-07-29,VOD.JO,13679.00,13931.00,13634.00,13895.00,13891.75,1708904
2025-07-29,WHL.JO,4875.00,4981.00,4853.00,4920.00,4918.11,3108304
