date,symbol,open,high,low,close,adj_close,volume
2025-07-21,ABG.JO,17600.00,17899.00,17546.00,17650.00,17642.66,1600321
2025-07-21,ADH.JO,3209.00,3259.00,3173.00,3217.00,3216.54,401562
2025-07-21,AGL.JO,53920.00,55464.00,53997.00,55045.00,55043.54,674477
2025-07-21,ANH.JO,120463.00,121788.00,120091.00,121636.00,121635.84,140908
2025-07-21,APN.JO,11376.00,11502.00,11342.00,11416.00,11413.51,998516
2025-07-21,AVI.JO,9500.00,9644.00,9406.00,9434.00,9430.20,797294
2025-07-21,BHG.JO,46488.00,47532.00,45980.00,47480.00,47461.08,619624
2025-07-21,BTI.JO,90532.00,91976.00,90705.00,91726.00,91685.90,666418
2025-07-21,BVT.JO,23850.00,23938.00,23189.00,23267.00,23257.14,289846
2025-07-21,CFR.JO,314005.00,315237.00,309601.00,312010.00,312007.22,132489
2025-07-21,CLS.JO,36853.00,37314.00,36526.00,36736.00,36729.23,644271
2025-07-21,CPI.JO,345001.00,352960.00,345999.00,347944.00,347921.47,104588
2025-07-21,DSY.JO,21471.00,22019.00,21471.00,22019.00,22016.94,837296
2025-07-21,EXX.JO,17464.00,17728.00,17462.00,17593.00,17584.77,1014810
2025-07-21,FSR.JO,7660.00,7759.00,7542.00,7583.00,7580.69,12320956
2025-07-21,GFI.JO,42957.00,45725.00,43352.00,45480.00,45462.62,1036243
2025-07-21,GLN.JO,7280.00,7566.00,7280.00,7484.00,7483.95,8160625
2025-07-21,IMP.JO,18075.00,19042.00,17950.00,18875.00,18869.84,3565402
2025-07-21,KIO.JO,30200.00,31229.00,30038.00,30884.00,30852.67,1031645
2025-07-21,KST.JO,2222.00,2222.00,2200.00,2215.00,2214.82,520869
2025-07-21,LHC.JO,1354.00,1376.00,1352.00,1358.00,1355.25,2959775
2025-07-21,MRP.JO,21545.00,21654.00,20627.00,21000.00,20996.77,1962725
2025-07-21,MTH.JO,9779.00,9847.00,9551.00,9551.00,9545.81,171801
2025-07-21,MTM.JO,3350.00,3457.00,3381.00,3391.00,3390.10,2352046
2025-07-21,MTN.JO,14585.00,14747.00,14340.00,14480.00,14480.00,4117559
2025-07-21,NED.JO,24300.00,24649.00,24068.00,24169.00,24157.98,818045
2025-07-21,NPN.JO,111800.00,112881.40,111459.00,112839.60,112834.16,914925
2025-07-21,OMU.JO,1177.00,1255.00,1187.50,1255.00,1254.65,35481302
2025-07-21,OUT.JO,7738.00,7829.00,7638.00,7682.00,7680.13,1973489
2025-07-21,PAN.JO,1230.00,1314.00,1230.00,1304.00,1303.73,9882953
2025-07-21,PRX.JO,102705.00,103700.00,102233.00,103400.00,103399.83,414941
2025-07-21,REM.JO,17388.00,17753.00,17139.00,17139.00,17134.62,1126788
2025-07-21,S32.JO,3325.00,3550.00,3332.00,3500.00,3499.04,10030075
2025-07-21,SAP.JO,2900.00,3009.00,2834.00,2852.00,2852.00,2307898
2025-07-21,SBK.JO,23210.00,23380.00,22957.00,23070.00,23062.33,1597446
2025-07-21,SHP.JO,27727.00,27943.00,27197.00,27350.00,27342.11,612596
2025-07-21,SLM.JO,8787.00,8900.00,8724.00,8787.00,8787.00,1852955
2025-07-21,SOL.JO,8992.00,9565.00,8902.00,9565.00,9565.00,3063806
2025-07-21,SPP.JO,10970.00,11013.00,10532.00,10610.00,10610.00,773735
2025-07-21,SUI.JO,4684.00,4798.00,4670.00,4753.00,4751.13,307194
2025-07-21,TBS.JO,29729.00,29735.00,29056.00,29096.00,29065.77,317706
2025-07-21,TRU.JO,7033.00,7143.00,6772.00,6865.00,6858.92,1886455
2025-07-21,VAL.JO,87590.00,93799.00,87700.00,93001.00,92968.30,1124115
2025-07-21,VOD.JO,14400.00,14438.00,14235.00,14341.00,14337.64,882049
2025-07-21,WHL.JO,4879.00,4925.00,4752.00,4802.00,4800.15,3003956
