date,symbol,open,high,low,close,adj_close,volume
2026-03-03,ABG.JO,26336.00,26969.00,24947.00,24947.00,24947.00,3979063
2026-03-03,ADH.JO,4039.00,4063.00,3941.00,3971.00,3971.00,267812
2026-03-03,AGL.JO,78671.00,76858.00,73311.00,75570.00,75569.84,1589800
2026-03-03,ANH.JO,127718.00,127718.00,124121.00,127050.00,127050.00,753004
2026-03-03,APN.JO,13400.00,13723.00,13100.00,13500.00,13500.00,1821284
2026-03-03,AVI.JO,11094.00,11131.00,10643.00,10682.00,10682.00,1120371
2026-03-03,BHG.JO,65247.00,65426.00,63416.00,63890.00,63878.38,1003617
2026-03-03,BTI.JO,98950.00,100673.00,98800.00,100250.00,100236.01,956263
2026-03-03,BVT.JO,25200.00,25235.00,23753.00,23904.00,23898.79,1698604
2026-03-03,CFR.JO,307003.00,307003.00,295209.00,299496.00,299496.00,216128
2026-03-03,CLS.JO,31201.00,31520.00,29922.00,29922.00,29922.00,864555
2026-03-03,CPI.JO,467499.00,464775.00,443598.00,447349.00,447349.00,378510
2026-03-03,DSY.JO,25805.00,26505.00,25588.00,25924.00,25924.00,3333779
2026-03-03,EXX.JO,20592.00,21447.00,20490.00,20512.00,20512.00,1053851
2026-03-03,FSR.JO,9608.00,9647.00,9172.00,9172.00,9172.00,16123071
2026-03-03,GFI.JO,92105.00,92192.00,82973.00,83000.00,82977.55,3478571
2026-03-03,GLN.JO,11500.00,11507.00,11168.00,11415.00,11415.00,13084748
2026-03-03,IMP.JO,33900.00,33836.00,28257.00,28611.00,28605.70,6641275
2026-03-03,KIO.JO,36394.00,36596.00,34832.00,35038.00,35022.10,472275
2026-03-03,KST.JO,2776.00,2779.00,2687.00,2697.00,2697.00,1738977
2026-03-03,LHC.JO,1184.00,1186.00,1130.00,1130.00,1130.00,7204423
2026-03-03,MRP.JO,18319.00,18087.00,17367.00,17414.00,17414.00,2794093
2026-03-03,MTH.JO,13157.00,13206.00,12493.00,12575.00,12571.91,624735
2026-03-03,MTM.JO,4014.00,4147.00,3881.00,3895.00,3895.00,2870438
2026-03-03,MTN.JO,20777.00,21398.00,19771.00,20048.00,20048.00,7157900
2026-03-03,NED.JO,30500.00,31262.00,29644.00,29833.00,29833.00,2744643
2026-03-03,NPN.JO,86521.00,87307.00,83751.00,84438.00,84438.00,1603921
2026-03-03,OMU.JO,1628.00,1613.00,1495.00,1511.00,1511.00,23221542
2026-03-03,OUT.JO,7300.00,7343.00,6917.00,6938.00,6938.00,3526136
2026-03-03,PAN.JO,3952.00,3965.02,3648.00,3648.00,3647.88,15763655
2026-03-03,PRX.JO,81199.00,126990.38,77875.00,78701.00,78701.00,1296660
2026-03-03,REM.JO,18500.00,19198.00,18125.00,18248.00,18248.00,553239
2026-03-03,S32.JO,5125.00,5231.00,5060.00,5100.00,5099.38,3899204
2026-03-03,SAP.JO,1728.00,1690.00,1595.00,1586.00,1586.00,3035794
2026-03-03,SBK.JO,31999.00,32059.00,30434.00,30506.00,30506.00,5081237
2026-03-03,SHP.JO,26867.00,29595.00,25468.00,25683.00,25680.10,3354350
2026-03-03,SLM.JO,10475.00,10444.00,9875.00,9972.00,9972.00,4780528
2026-03-03,SOL.JO,14850.00,15547.00,14446.00,14600.00,14600.00,6347648
2026-03-03,SPP.JO,7063.00,7076.00,6730.00,6824.00,6824.00,1087649
2026-03-03,SUI.JO,4266.00,4348.00,4160.00,4160.00,4160.00,754809
2026-03-03,TBS.JO,32339.00,32053.00,30205.00,30205.00,30205.00,538087
2026-03-03,TRU.JO,5750.00,5881.00,5629.00,5643.00,5639.64,2961256
2026-03-03,VAL.JO,181961.00,180483.00,156855.00,159484.00,159431.77,1745724
2026-03-03,VOD.JO,16356.00,16497.00,15731.00,15864.00,15864.00,1910080
2026-03-03,WHL.JO,5417.00,5456.00,5118.00,5129.00,5127.82,6536688
