date,symbol,open,high,low,close,adj_close,volume
2025-05-29,ABG.JO,17400.00,17700.00,17369.00,17579.00,17571.69,3042759
2025-05-29,ADH.JO,3248.00,3255.00,3234.00,3247.00,3246.54,155940
2025-05-29,AGL.JO,51653.01,52763.72,51426.93,51899.72,51898.34,1927113
2025-05-29,ANH.JO,125515.00,125704.00,124444.00,125116.00,125115.83,73089
2025-05-29,APN.JO,12200.00,12237.00,11895.00,12140.00,12137.36,1068271
2025-05-29,AVI.JO,9328.00,9379.00,9231.00,9301.00,9297.25,913973
2025-05-29,BHG.JO,44531.00,44531.00,43701.00,43850.00,43832.53,244627
2025-05-29,BTI.JO,80499.00,80835.00,79186.00,79262.00,79213.93,822752
2025-05-29,BVT.JO,23894.00,24744.00,23894.00,24531.00,24520.61,725295
2025-05-29,CFR.JO,340973.00,343582.00,335178.00,335863.00,335860.00,57706
2025-05-29,CLS.JO,38964.00,39431.00,38443.00,39157.00,39147.32,704415
2025-05-29,CPI.JO,345572.00,347501.00,341289.00,343046.00,343023.78,273666
2025-05-29,DSY.JO,21840.00,22177.00,21609.00,21940.00,21937.94,1366390
2025-05-29,EXX.JO,14520.00,14786.00,14543.00,14670.00,14663.14,669103
2025-05-29,FSR.JO,7431.00,7578.00,7403.00,7537.00,7534.70,7942069
2025-05-29,GFI.JO,40399.00,41766.00,40066.00,41194.00,41178.26,2693713
2025-05-29,GLN.JO,6650.00,6839.00,6599.00,6726.00,6725.95,14435479
2025-05-29,IMP.JO,13300.00,13567.00,13159.00,13358.00,13354.35,3592478
2025-05-29,KIO.JO,29000.00,30185.00,29000.00,29990.00,29959.58,454018
2025-05-29,KST.JO,2047.00,2090.00,2044.00,2080.00,2079.83,409041
2025-05-29,LHC.JO,1369.00,1429.00,1370.00,1412.00,1408.93,5192342
2025-05-29,MRP.JO,23800.00,24215.00,23538.00,24034.00,24023.96,1123188
2025-05-29,MTH.JO,8801.00,8874.00,8718.00,8800.00,8795.22,624774
2025-05-29,MTM.JO,3423.00,3514.00,3439.00,3514.00,3513.06,4583350
2025-05-29,MTN.JO,12677.00,12975.00,12520.00,12800.00,12800.00,3427097
2025-05-29,NED.JO,25695.00,26006.00,25649.00,25983.00,25971.16,990911
2025-05-29,NPN.JO,104500.00,105394.60,103809.20,104929.40,104924.34,2376500
2025-05-29,OMU.JO,1151.00,1190.00,1150.00,1190.00,1189.67,15289564
2025-05-29,OUT.JO,7705.00,7784.00,7612.00,7680.00,7678.13,2612979
2025-05-29,PAN.JO,1087.00,1111.00,1075.00,1102.00,1101.77,7141401
2025-05-29,PRX.JO,93483.00,93733.00,92184.00,92622.00,92621.84,603009
2025-05-29,REM.JO,16100.00,16166.00,15779.00,16141.00,16136.88,2158339
2025-05-29,S32.JO,3520.00,3537.00,3436.00,3453.00,3452.05,2142481
2025-05-29,SAP.JO,3355.00,3390.00,3326.00,3342.00,3342.00,2076165
2025-05-29,SBK.JO,23226.00,23640.00,23106.00,23509.00,23501.19,3051102
2025-05-29,SHP.JO,28075.00,29183.00,28192.00,29181.00,29172.58,1874923
2025-05-29,SLM.JO,8750.00,8890.00,8722.00,8874.00,8874.00,2721708
2025-05-29,SOL.JO,8300.00,8370.00,8130.00,8284.00,8284.00,4555699
2025-05-29,SPP.JO,11790.00,11876.00,11271.00,11286.00,11286.00,2101730
2025-05-29,SUI.JO,4180.00,4180.00,4103.00,4122.00,4120.38,187901
2025-05-29,TBS.JO,33912.00,33833.00,33024.00,33800.00,33747.70,793354
2025-05-29,TRU.JO,7430.00,7466.00,7271.00,7300.00,7293.53,2967691
2025-05-29,VAL.JO,72500.00,75548.00,71088.00,71983.00,71957.70,1040463
2025-05-29,VOD.JO,13570.00,13853.00,13474.00,13849.00,13842.24,1387274
2025-05-29,WHL.JO,5601.00,5869.00,5701.00,5858.00,5855.74,2751223
