date,symbol,open,high,low,close,adj_close,volume
2025-07-11,ABG.JO,17630.00,17701.00,17311.00,17440.00,17432.75,3195036
2025-07-11,ADH.JO,3241.00,3268.00,3200.00,3250.00,3249.54,565578
2025-07-11,AGL.JO,54100.00,54800.00,53439.00,54355.00,54353.55,1199451
2025-07-11,ANH.JO,120318.00,121561.00,120306.00,121139.00,121138.84,138583
2025-07-11,APN.JO,11700.00,11826.00,11584.00,11630.00,11627.47,797931
2025-07-11,AVI.JO,9460.00,9466.00,9380.00,9428.00,9424.20,548262
2025-07-11,BHG.JO,46100.00,46318.00,45558.00,46240.00,46221.57,406286
2025-07-11,BTI.JO,89907.00,91166.00,89700.00,90875.00,90835.27,1025339
2025-07-11,BVT.JO,23822.00,23940.00,23146.00,23174.00,23164.18,1189447
2025-07-11,CFR.JO,335008.00,336347.00,330160.00,334361.00,334358.00,139791
2025-07-11,CLS.JO,36533.00,36615.00,35600.00,35644.00,35637.43,1189664
2025-07-11,CPI.JO,349145.00,350391.00,340136.00,342003.00,341980.88,348801
2025-07-11,DSY.JO,21600.00,22161.00,20998.00,21101.00,21099.02,1731807
2025-07-11,EXX.JO,16750.00,17089.00,16681.00,16936.00,16928.08,439756
2025-07-11,FSR.JO,7505.00,7522.00,7266.00,7275.00,7272.78,12361622
2025-07-11,GFI.JO,42401.00,43487.00,41966.00,43280.00,43263.46,1766100
2025-07-11,GLN.JO,7560.00,7586.00,7443.00,7586.00,7585.95,8170255
2025-07-11,IMP.JO,17100.00,17423.00,16796.00,17296.00,17291.28,4121710
2025-07-11,KIO.JO,32100.00,31968.00,31001.00,31032.00,31000.52,374142
2025-07-11,KST.JO,2161.00,2198.00,2160.00,2198.00,2197.82,593952
2025-07-11,LHC.JO,1459.00,1412.00,1387.00,1404.00,1401.16,3418822
2025-07-11,MRP.JO,21485.00,21584.00,21024.00,21179.00,21175.74,982725
2025-07-11,MTH.JO,9899.00,9734.00,9544.00,9703.00,9697.72,247631
2025-07-11,MTM.JO,3419.00,3419.00,3312.00,3345.00,3344.11,1885804
2025-07-11,MTN.JO,14330.00,14405.00,14093.00,14230.00,14230.00,4836162
2025-07-11,NED.JO,24100.00,24113.00,22732.23,23492.00,23481.29,1392383
2025-07-11,NPN.JO,110100.00,110740.20,109166.60,110120.00,110114.70,1645535
2025-07-11,OMU.JO,1191.00,1190.00,1150.00,1150.00,1149.68,11557948
2025-07-11,OUT.JO,7840.00,7843.00,7643.00,7663.00,7661.13,2079345
2025-07-11,PAN.JO,1185.00,1233.00,1175.00,1231.00,1230.74,3121809
2025-07-11,PRX.JO,100682.00,101194.00,99810.00,100600.00,100599.84,721637
2025-07-11,REM.JO,17590.00,17505.00,16947.00,17104.00,17099.63,965290
2025-07-11,S32.JO,3566.00,3666.00,3548.00,3654.00,3653.00,269901
2025-07-11,SAP.JO,2950.00,2950.00,2864.00,2916.00,2916.00,2239122
2025-07-11,SBK.JO,22601.00,22879.00,22004.00,22077.00,22069.66,2501755
2025-07-11,SHP.JO,28182.00,27750.00,27100.00,27148.00,27140.16,988287
2025-07-11,SLM.JO,8652.00,8790.00,8567.00,8610.00,8610.00,2927256
2025-07-11,SOL.JO,9250.00,9384.00,9038.00,9228.00,9228.00,2525740
2025-07-11,SPP.JO,11100.00,11115.00,10818.00,10820.00,10820.00,377626
2025-07-11,SUI.JO,4783.00,4784.00,4728.00,4750.00,4748.13,145614
2025-07-11,TBS.JO,30899.00,30899.00,29721.00,29808.00,29777.03,215080
2025-07-11,TRU.JO,7221.00,7273.00,7146.00,7230.00,7223.59,921487
2025-07-11,VAL.JO,83409.00,85914.00,81583.00,85000.00,84970.12,721376
2025-07-11,VOD.JO,13944.00,14196.00,13729.00,13863.00,13859.75,1554525
2025-07-11,WHL.JO,4983.00,5001.00,4884.00,4921.00,4919.11,4011118
