date,symbol,open,high,low,close,adj_close,volume
2026-02-26,ABG.JO,26851.00,27812.00,26904.00,27203.00,27203.00,2106187
2026-02-26,ADH.JO,4026.00,4077.00,4015.00,4058.00,4058.00,321984
2026-02-26,AGL.JO,81600.00,81933.00,78960.00,78960.00,78959.83,415510
2026-02-26,ANH.JO,125638.00,126054.00,125156.00,125895.00,125895.00,234154
2026-02-26,APN.JO,13150.00,13552.00,13101.00,13552.00,13552.00,1393336
2026-02-26,AVI.JO,11398.00,11628.00,11335.00,11335.00,11335.00,771290
2026-02-26,BHG.JO,65001.00,65100.00,63800.00,63800.00,63788.39,494540
2026-02-26,BTI.JO,98965.00,99615.00,98606.00,99250.00,99236.15,402694
2026-02-26,BVT.JO,24567.00,25383.00,24627.00,25233.00,25227.50,716180
2026-02-26,CFR.JO,327291.00,336800.00,326283.00,335631.00,335631.00,47927
2026-02-26,CLS.JO,32480.00,32086.00,31424.00,31782.00,31782.00,819631
2026-02-26,CPI.JO,469097.00,477584.00,467400.00,474872.00,474872.00,244047
2026-02-26,DSY.JO,24950.00,26581.00,24781.00,26230.00,26230.00,2760751
2026-02-26,EXX.JO,19634.00,19715.00,19337.00,19364.00,19364.00,254097
2026-02-26,FSR.JO,9700.00,10002.00,9500.00,9952.00,9952.00,14893909
2026-02-26,GFI.JO,92800.00,93034.00,89097.00,89097.00,89072.90,1882682
2026-02-26,GLN.JO,11435.00,11480.00,11222.00,11222.00,11222.00,2451792
2026-02-26,IMP.JO,32600.00,33836.00,32309.00,33665.00,33658.77,4563988
2026-02-26,KIO.JO,36899.00,36842.00,35833.00,35977.00,35960.67,546871
2026-02-26,KST.JO,2800.00,2870.00,2812.00,2856.00,2856.00,423996
2026-02-26,LHC.JO,1205.00,1228.00,1195.00,1228.00,1228.00,3885473
2026-02-26,MRP.JO,17900.00,18631.00,17684.00,18408.00,18408.00,4487887
2026-02-26,MTH.JO,12911.00,13562.00,12738.00,13200.00,13196.76,613305
2026-02-26,MTM.JO,3865.00,4044.00,3868.00,4018.00,4018.00,1037101
2026-02-26,MTN.JO,20523.00,20700.00,20281.00,20391.00,20391.00,3875603
2026-02-26,NED.JO,29200.00,31822.00,29199.00,31448.00,31448.00,4869796
2026-02-26,NPN.JO,90150.00,90154.00,88100.00,88694.00,88694.00,2184255
2026-02-26,OMU.JO,1659.00,1689.00,1654.00,1681.00,1681.00,24922846
2026-02-26,OUT.JO,7400.00,7520.00,7000.00,7245.00,7245.00,3247742
2026-02-26,PAN.JO,3840.00,3885.00,3766.00,3811.00,3810.87,4460227
2026-02-26,PRX.JO,82599.00,82536.00,81323.00,82351.00,82351.00,1983009
2026-02-26,REM.JO,19255.00,19856.00,19255.00,19348.00,19348.00,728965
2026-02-26,S32.JO,5193.00,5222.00,5158.00,5176.00,5175.37,2627904
2026-02-26,SAP.JO,1672.00,1693.00,1637.00,1637.00,1637.00,2592584
2026-02-26,SBK.JO,32300.00,32699.00,32201.00,32519.00,32519.00,4802307
2026-02-26,SHP.JO,26902.00,26970.00,26685.00,26711.00,26707.98,2619408
2026-02-26,SLM.JO,10565.00,10820.00,10581.00,10689.00,10689.00,2579375
2026-02-26,SOL.JO,13689.00,13680.00,12516.00,12520.00,12520.00,5051962
2026-02-26,SPP.JO,6697.00,6989.00,6622.00,6944.00,6944.00,1725570
2026-02-26,SUI.JO,4250.00,4356.00,4250.00,4356.00,4356.00,334096
2026-02-26,TBS.JO,33550.00,33560.00,31370.00,31507.00,31507.00,593410
2026-02-26,TRU.JO,5807.00,6248.00,5806.00,6076.00,6072.38,5855745
2026-02-26,VAL.JO,182799.00,184771.00,177384.00,178631.00,178572.50,1012181
2026-02-26,VOD.JO,16350.00,16314.00,15963.00,16060.00,16060.00,1212977
2026-02-26,WHL.JO,5400.00,5573.00,5381.00,5550.00,5548.72,3209642
