date,symbol,open,high,low,close,adj_close,volume
2025-07-30,ABG.JO,17820.00,17957.00,17630.00,17882.00,17874.57,1933544
2025-07-30,ADH.JO,3238.00,3258.00,3175.00,3230.00,3229.54,224149
2025-07-30,AGL.JO,53294.00,53215.00,52289.00,52980.00,52978.59,833198
2025-07-30,ANH.JO,124500.00,120303.00,118951.00,119558.00,119557.84,149638
2025-07-30,APN.JO,12127.00,12399.50,12072.00,12072.00,12069.37,1069794
2025-07-30,AVI.JO,9300.00,9439.00,9304.00,9382.00,9378.22,463367
2025-07-30,BHG.JO,46725.00,46749.00,45985.00,46391.00,46372.51,255377
2025-07-30,BTI.JO,94218.00,94887.00,93454.00,94641.00,94599.62,1250767
2025-07-30,BVT.JO,23910.00,23912.00,23499.00,23698.00,23687.96,536689
2025-07-30,CFR.JO,305069.00,306899.00,302951.00,304677.00,304674.28,72520
2025-07-30,CLS.JO,37399.00,38075.00,37128.00,37800.00,37793.03,775560
2025-07-30,CPI.JO,348410.00,351815.00,345416.00,350215.00,350192.34,119108
2025-07-30,DSY.JO,21075.00,21190.00,20873.00,21033.00,21031.03,576469
2025-07-30,EXX.JO,16465.00,16469.00,16060.00,16120.00,16112.46,754005
2025-07-30,FSR.JO,7500.00,7676.00,7482.00,7655.00,7652.67,10869791
2025-07-30,GFI.JO,45000.00,45501.00,44318.00,44741.00,44723.91,1418212
2025-07-30,GLN.JO,7380.00,7482.00,7257.00,7469.00,7468.95,7961192
2025-07-30,IMP.JO,18163.00,18900.00,18200.00,18836.00,18830.86,4226237
2025-07-30,KIO.JO,31360.00,31388.00,30750.00,31150.00,31118.40,447053
2025-07-30,KST.JO,2249.00,2250.00,2216.00,2231.00,2230.82,127996
2025-07-30,LHC.JO,1342.00,1361.00,1332.00,1343.00,1340.28,4379674
2025-07-30,MRP.JO,20951.00,21579.00,20623.00,21251.00,21247.73,1322436
2025-07-30,MTH.JO,9229.00,9400.00,9229.00,9265.00,9259.96,249275
2025-07-30,MTM.JO,3421.00,3499.00,3421.00,3468.00,3467.08,1229121
2025-07-30,MTN.JO,14600.00,14737.00,14370.00,14520.00,14520.00,3576303
2025-07-30,NED.JO,24882.00,24855.00,24405.00,24592.00,24580.79,800345
2025-07-30,NPN.JO,114499.60,114798.00,112951.60,113346.00,113340.54,1194715
2025-07-30,OMU.JO,1274.00,1280.00,1262.00,1274.00,1273.65,10014878
2025-07-30,OUT.JO,7578.00,7671.00,7524.00,7665.00,7663.13,2106088
2025-07-30,PAN.JO,1285.00,1315.00,1283.00,1293.00,1292.73,1011862
2025-07-30,PRX.JO,105630.00,105717.00,103654.00,104601.00,104600.83,759835
2025-07-30,REM.JO,16525.00,16692.00,16389.00,16574.00,16569.77,426307
2025-07-30,S32.JO,3471.00,3491.00,3455.00,3455.00,3454.05,1815646
2025-07-30,SAP.JO,2854.00,2863.00,2795.00,2825.00,2825.00,4582971
2025-07-30,SBK.JO,23000.00,23381.00,22900.00,23347.00,23339.24,1047849
2025-07-30,SHP.JO,26600.00,26993.00,26484.00,26845.00,26837.25,662436
2025-07-30,SLM.JO,8615.00,8675.00,8540.00,8634.00,8634.00,2298526
2025-07-30,SOL.JO,9401.00,9473.00,9000.00,9121.00,9121.00,3537162
2025-07-30,SPP.JO,10680.00,10944.00,10674.00,10880.00,10880.00,443319
2025-07-30,SUI.JO,4696.00,4721.00,4678.00,4698.00,4696.15,140630
2025-07-30,TBS.JO,29751.00,30441.00,29372.00,30105.00,30073.72,107525
2025-07-30,TRU.JO,6955.00,7267.00,6965.00,7118.00,7111.69,3601848
2025-07-30,VAL.JO,85241.00,89021.00,85093.00,88568.00,88536.87,1865018
2025-07-30,VOD.JO,13933.00,14045.00,13700.00,13984.00,13980.73,1078162
2025-07-30,WHL.JO,4898.00,5002.00,4880.00,4969.00,4967.09,3172901
