date,symbol,open,high,low,close,adj_close,volume
2025-04-10,ABG.JO,16525.00,17050.00,16290.00,16340.00,16325.87,3756161
2025-04-10,ADH.JO,3095.00,3157.00,3046.00,3072.00,3071.56,632749
2025-04-10,AGL.JO,48433.91,49536.76,46156.46,47490.30,47489.03,3968022
2025-04-10,ANH.JO,117107.00,118786.00,115274.00,118168.00,118166.87,964148
2025-04-10,APN.JO,15690.00,16634.00,15084.00,15191.00,15187.69,2140132
2025-04-10,AVI.JO,8777.00,9041.00,8757.00,9019.00,9015.36,1217119
2025-04-10,BHG.JO,42777.00,43428.00,42030.83,42549.00,42532.04,2409650
2025-04-10,BTI.JO,78001.00,78100.00,76190.00,77822.00,77774.81,1145618
2025-04-10,BVT.JO,22270.00,22658.00,21749.00,21834.00,21824.75,1495534
2025-04-10,CFR.JO,330090.00,362940.00,311853.00,316249.00,316246.19,306672
2025-04-10,CLS.JO,34799.00,35196.00,34018.00,34636.00,34627.44,887126
2025-04-10,CPI.JO,298299.00,304660.00,283500.00,298000.00,297943.00,614106
2025-04-10,DSY.JO,18918.00,19347.00,18395.00,18395.00,18393.28,3014283
2025-04-10,EXX.JO,14600.00,14857.00,14444.00,14581.00,14565.81,733031
2025-04-10,FSR.JO,6950.00,7172.00,6838.00,6885.00,6882.90,24215275
2025-04-10,GFI.JO,43376.00,45813.00,40638.00,45778.00,45760.51,3169391
2025-04-10,GLN.JO,6633.00,6650.00,6240.00,6315.00,6314.91,15407877
2025-04-10,IMP.JO,11050.00,11550.00,10610.00,10901.00,10898.02,4517574
2025-04-10,KIO.JO,30900.00,31984.00,30131.00,30549.00,30518.01,532680
2025-04-10,KST.JO,1761.00,1846.00,1742.00,1776.00,1775.55,2691224
2025-04-10,LHC.JO,1392.00,1446.00,1375.00,1380.00,1377.00,9178712
2025-04-10,MRP.JO,21558.00,21840.00,21202.00,21534.00,21525.00,1762978
2025-04-10,MTH.JO,7900.00,8240.00,7751.00,8050.00,8045.62,2514298
2025-04-10,MTM.JO,3005.00,3050.00,2935.00,2958.00,2957.21,9075457
2025-04-10,MTN.JO,10914.00,11255.00,10595.00,10650.00,10650.00,7916444
2025-04-10,NED.JO,23840.00,24419.00,23229.00,23600.00,23589.24,2464181
2025-04-10,NPN.JO,86810.60,88000.00,85941.40,86660.80,86656.62,2375370
2025-04-10,OMU.JO,1012.00,1015.00,974.00,985.00,984.73,29297077
2025-04-10,OUT.JO,6580.00,7024.00,6762.00,6804.00,6802.34,4682989
2025-04-10,PAN.JO,1067.00,1121.00,1048.00,1115.00,1114.77,19623667
2025-04-10,PRX.JO,79000.00,81108.00,78403.00,79820.00,79819.87,1593874
2025-04-10,REM.JO,14799.00,15053.00,14352.00,14469.00,14464.39,1765687
2025-04-10,S32.JO,3255.00,3343.00,3217.00,3264.00,3263.11,719548
2025-04-10,SAP.JO,3500.00,3635.00,3390.00,3400.00,3400.00,5131781
2025-04-10,SBK.JO,21420.00,21972.00,21284.00,21406.00,21398.88,7438178
2025-04-10,SHP.JO,26800.00,27125.00,26394.00,26966.00,26958.22,1634013
2025-04-10,SLM.JO,7505.00,7670.00,7483.00,7589.00,7589.00,7624552
2025-04-10,SOL.JO,6387.00,6450.00,5838.00,6017.00,6017.00,7087952
2025-04-10,SPP.JO,11330.00,11362.00,10932.00,11000.00,11000.00,2655851
2025-04-10,SUI.JO,3821.00,3852.00,3720.00,3824.00,3822.49,628240
2025-04-10,TBS.JO,26600.00,27614.00,26572.00,27050.00,27008.14,3341235
2025-04-10,TRU.JO,6719.00,6857.00,6666.00,6699.00,6693.06,1714744
2025-04-10,VAL.JO,65500.00,69800.00,65500.00,66177.00,66097.72,971039
2025-04-10,VOD.JO,12400.00,12514.00,11943.00,12168.00,12162.06,2910486
2025-04-10,WHL.JO,5160.00,5284.00,5076.00,5100.00,5098.04,3947501
