date,symbol,open,high,low,close,adj_close,volume
2025-08-28,ABG.JO,18999.00,19183.00,18782.00,19169.00,19161.03,2752225
2025-08-28,ADH.JO,3320.00,3339.00,3294.00,3330.00,3329.53,664824
2025-08-28,AGL.JO,52570.00,54450.00,52713.00,54075.00,54074.88,1719179
2025-08-28,ANH.JO,111307.00,112175.00,110732.00,111168.00,111167.84,222042
2025-08-28,APN.JO,10640.00,11067.00,10649.00,10796.00,10793.65,2367438
2025-08-28,AVI.JO,9347.00,9380.00,9280.00,9343.00,9339.23,321354
2025-08-28,BHG.JO,49500.00,49633.00,49271.00,49385.00,49365.32,771283
2025-08-28,BTI.JO,100033.00,100435.00,98262.00,99000.00,98956.72,1173486
2025-08-28,BVT.JO,23510.00,24259.00,23711.00,23938.00,23927.86,1043422
2025-08-28,CFR.JO,302600.00,318884.00,304559.00,312389.00,312386.22,564368
2025-08-28,CLS.JO,38200.00,38284.00,37455.00,37492.00,37485.09,667504
2025-08-28,CPI.JO,363200.00,364832.00,357071.00,359100.00,359076.75,194622
2025-08-28,DSY.JO,21650.00,22010.00,21656.00,21716.00,21713.96,750337
2025-08-28,EXX.JO,19197.00,19799.00,18959.00,19071.00,19062.08,753843
2025-08-28,FSR.JO,7500.00,7645.00,7528.00,7617.00,7614.68,8669315
2025-08-28,GFI.JO,58900.00,58892.00,55912.00,57027.00,57005.21,2615361
2025-08-28,GLN.JO,6940.00,7118.00,6940.00,7067.00,7067.00,3281935
2025-08-28,IMP.JO,15500.00,15977.00,15254.00,15790.00,15785.69,5994364
2025-08-28,KIO.JO,30101.00,31648.00,30240.00,31586.00,31571.67,1393550
2025-08-28,KST.JO,2258.00,2270.00,2185.00,2241.00,2240.82,1475397
2025-08-28,LHC.JO,1343.00,1369.00,1355.00,1364.00,1361.24,1801136
2025-08-28,MRP.JO,21580.00,21580.00,20663.00,20875.00,20871.79,1353807
2025-08-28,MTH.JO,10300.00,10400.00,10294.50,10396.00,10390.35,361327
2025-08-28,MTM.JO,3580.00,3648.00,3569.00,3597.00,3596.04,2683724
2025-08-28,MTN.JO,15189.00,15298.00,14903.00,15233.00,15233.00,5003176
2025-08-28,NED.JO,22500.00,22820.00,22454.00,22678.00,22667.66,1145922
2025-08-28,NPN.JO,116124.00,116598.00,115205.40,115652.00,115646.43,1248930
2025-08-28,OMU.JO,1414.00,1415.00,1377.00,1415.00,1414.61,13262019
2025-08-28,OUT.JO,7550.00,7618.00,7459.00,7530.00,7528.17,3952969
2025-08-28,PAN.JO,1491.00,1497.00,1450.00,1474.00,1473.69,3198946
2025-08-28,PRX.JO,107610.00,108153.00,106812.00,107855.00,107854.82,578872
2025-08-28,REM.JO,17088.00,17247.00,16872.00,17178.00,17173.62,913447
2025-08-28,S32.JO,3168.00,3183.00,3065.00,3109.00,3108.15,1752919
2025-08-28,SAP.JO,2880.00,2985.00,2880.00,2949.00,2949.00,1072887
2025-08-28,SBK.JO,24951.00,25428.00,24948.00,25119.00,25110.65,2084421
2025-08-28,SHP.JO,27088.00,27237.00,26436.00,26436.00,26428.37,1803161
2025-08-28,SLM.JO,8950.00,9240.00,9034.00,9197.00,9197.00,3378764
2025-08-28,SOL.JO,11487.00,12007.00,11485.00,11930.00,11930.00,3881163
2025-08-28,SPP.JO,10897.00,10929.00,10756.00,10835.00,10835.00,253830
2025-08-28,SUI.JO,4697.00,4722.00,4600.00,4650.00,4648.17,343571
2025-08-28,TBS.JO,31011.00,31598.00,31011.00,31224.00,31191.55,331917
2025-08-28,TRU.JO,6480.00,6536.00,6013.00,6031.00,6025.66,4995118
2025-08-28,VAL.JO,81700.00,82614.00,80780.00,81772.00,81745.22,1401639
2025-08-28,VOD.JO,14331.00,14473.00,14230.00,14371.00,14367.63,845401
2025-08-28,WHL.JO,5350.00,5449.00,5180.00,5190.00,5188.00,4771185
